coordinator,dataset_mode,noise_level,run_id,num_packages,final_accuracy,handling_accuracy,hub_accuracy,depot_accuracy,conflict_rate,conflict_resolution_accuracy,manual_review_rate,avg_processing_time_ms
MediatorCoordinator,normal,0.1,7,500,0.59,0.702,0.83,0.828,0.384,0.3385416666666667,0.126,0.04281760076992214
RuleBasedCoordinator,normal,0.1,8,500,0.62,0.726,0.82,0.818,0.326,0.3496932515337423,0.112,0.0410394006757997
WeightedVotingCoordinator,normal,0.1,8,500,0.62,0.726,0.82,0.818,0.326,0.3496932515337423,0.112,0.04249560023890808
MediatorCoordinator,normal,0.1,8,500,0.614,0.732,0.82,0.818,0.326,0.3496932515337423,0.134,0.04302039952017367
RuleBasedCoordinator,normal,0.1,9,500,0.616,0.712,0.828,0.826,0.352,0.3409090909090909,0.104,0.04531159932957962
WeightedVotingCoordinator,normal,0.1,9,500,0.616,0.712,0.828,0.826,0.352,0.3409090909090909,0.104,0.045632598630618304
MediatorCoordinator,normal,0.1,9,500,0.614,0.724,0.828,0.826,0.352,0.3409090909090909,0.12,0.04156619997229427
RuleBasedCoordinator,normal,0.1,10,500,0.632,0.728,0.842,0.84,0.334,0.32335329341317365,0.096,0.0471066003665328
WeightedVotingCoordinator,normal,0.1,10,500,0.632,0.728,0.842,0.84,0.334,0.32335329341317365,0.096,0.04843019926920533
MediatorCoordinator,normal,0.1,10,500,0.624,0.734,0.842,0.84,0.334,0.32335329341317365,0.118,0.04744419944472611
RuleBasedCoordinator,normal,0.1,11,500,0.698,0.766,0.864,0.862,0.316,0.3924050632911392,0.066,0.05223200033651665
WeightedVotingCoordinator,normal,0.1,11,500,0.698,0.766,0.864,0.862,0.316,0.3924050632911392,0.066,0.05308200075523928
MediatorCoordinator,normal,0.1,11,500,0.694,0.772,0.864,0.862,0.316,0.3924050632911392,0.082,0.05292620015097782
RuleBasedCoordinator,normal,0.1,12,500,0.636,0.716,0.858,0.856,0.424,0.44339622641509435,0.084,0.051768800360150635
WeightedVotingCoordinator,normal,0.1,12,500,0.636,0.716,0.858,0.856,0.424,0.44339622641509435,0.084,0.050924400333315134
MediatorCoordinator,normal,0.1,12,500,0.626,0.708,0.858,0.856,0.424,0.44339622641509435,0.096,0.04651060013566166
RuleBasedCoordinator,normal,0.1,13,500,0.662,0.742,0.842,0.84,0.34,0.37058823529411766,0.08,0.03279600024688989
WeightedVotingCoordinator,normal,0.1,13,500,0.662,0.742,0.842,0.84,0.34,0.37058823529411766,0.08,0.03409959975397214
MediatorCoordinator,normal,0.1,13,500,0.654,0.74,0.842,0.84,0.34,0.37058823529411766,0.094,0.03474379994440824
RuleBasedCoordinator,normal,0.1,14,500,0.662,0.732,0.866,0.862,0.376,0.425531914893617,0.07,0.05158719921018928
WeightedVotingCoordinator,normal,0.1,14,500,0.662,0.732,0.866,0.862,0.376,0.425531914893617,0.07,0.04450919944792986
MediatorCoordinator,normal,0.1,14,500,0.658,0.738,0.866,0.862,0.376,0.425531914893617,0.086,0.0461873997701332
RuleBasedCoordinator,normal,0.1,15,500,0.61,0.716,0.832,0.83,0.352,0.32386363636363635,0.11,0.04795159929199144
WeightedVotingCoordinator,normal,0.1,15,500,0.61,0.716,0.832,0.83,0.352,0.32386363636363635,0.11,0.04855539900017902
MediatorCoordinator,normal,0.1,15,500,0.604,0.716,0.832,0.83,0.352,0.32386363636363635,0.122,0.048997598816640675
RuleBasedCoordinator,normal,0.1,16,500,0.612,0.706,0.824,0.822,0.386,0.3626943005181347,0.096,0.05147660034708679
WeightedVotingCoordinator,normal,0.1,16,500,0.612,0.706,0.824,0.822,0.386,0.3626943005181347,0.096,0.05267699982505292
MediatorCoordinator,normal,0.1,16,500,0.602,0.714,0.824,0.822,0.386,0.35751295336787564,0.124,0.051060400961432606
RuleBasedCoordinator,normal,0.1,17,500,0.632,0.73,0.84,0.832,0.348,0.3563218390804598,0.09,0.0429602010990493
WeightedVotingCoordinator,normal,0.1,17,500,0.632,0.73,0.84,0.832,0.348,0.3563218390804598,0.09,0.04363520094193518
MediatorCoordinator,normal,0.1,17,500,0.628,0.734,0.84,0.832,0.348,0.3563218390804598,0.102,0.03909140097675845
RuleBasedCoordinator,normal,0.1,18,500,0.612,0.718,0.826,0.82,0.346,0.3468208092485549,0.104,0.03987220022827387
WeightedVotingCoordinator,normal,0.1,18,500,0.612,0.718,0.826,0.82,0.346,0.3468208092485549,0.104,0.03329559933627024
MediatorCoordinator,normal,0.1,18,500,0.606,0.722,0.826,0.82,0.346,0.3468208092485549,0.12,0.03949340042890981
RuleBasedCoordinator,normal,0.1,19,500,0.606,0.732,0.808,0.792,0.336,0.3630952380952381,0.12,0.05204240040620789
WeightedVotingCoordinator,normal,0.1,19,500,0.606,0.732,0.808,0.792,0.336,0.3630952380952381,0.12,0.05405080027412623
MediatorCoordinator,normal,0.1,19,500,0.604,0.742,0.808,0.792,0.336,0.3630952380952381,0.134,0.05242160061607137
RuleBasedCoordinator,normal,0.1,20,500,0.676,0.766,0.852,0.852,0.322,0.4161490683229814,0.09,0.0506502001080662
WeightedVotingCoordinator,normal,0.1,20,500,0.676,0.766,0.852,0.852,0.322,0.4161490683229814,0.09,0.0471991992671974
MediatorCoordinator,normal,0.1,20,500,0.674,0.772,0.852,0.852,0.322,0.4161490683229814,0.1,0.04717659979360178
RuleBasedCoordinator,normal,0.1,21,500,0.648,0.764,0.82,0.814,0.328,0.4146341463414634,0.116,0.03313759935554117
WeightedVotingCoordinator,normal,0.1,21,500,0.648,0.764,0.82,0.814,0.328,0.4146341463414634,0.116,0.03447139816125855
MediatorCoordinator,normal,0.1,21,500,0.644,0.768,0.82,0.814,0.328,0.4146341463414634,0.13,0.03465259989025071
RuleBasedCoordinator,normal,0.1,22,500,0.618,0.718,0.834,0.83,0.348,0.3620689655172414,0.098,0.04046459874371067
WeightedVotingCoordinator,normal,0.1,22,500,0.618,0.718,0.834,0.83,0.348,0.3620689655172414,0.098,0.0430817985907197
MediatorCoordinator,normal,0.1,22,500,0.618,0.726,0.834,0.83,0.348,0.3620689655172414,0.108,0.043867598462384194
RuleBasedCoordinator,normal,0.1,23,500,0.656,0.746,0.832,0.832,0.344,0.4069767441860465,0.092,0.04250079998746514
WeightedVotingCoordinator,normal,0.1,23,500,0.656,0.746,0.832,0.832,0.344,0.4069767441860465,0.092,0.04317780054407194
MediatorCoordinator,normal,0.1,23,500,0.648,0.74,0.832,0.832,0.344,0.4011627906976744,0.104,0.04291160055436194
RuleBasedCoordinator,normal,0.1,24,500,0.618,0.736,0.806,0.802,0.356,0.38202247191011235,0.116,0.046486599545460194
WeightedVotingCoordinator,normal,0.1,24,500,0.618,0.736,0.806,0.802,0.356,0.38202247191011235,0.116,0.04987379920203239
MediatorCoordinator,normal,0.1,24,500,0.61,0.74,0.806,0.802,0.356,0.37640449438202245,0.136,0.051093800633680075
RuleBasedCoordinator,normal,0.1,25,500,0.626,0.734,0.814,0.814,0.336,0.35714285714285715,0.108,0.050241399148944765
WeightedVotingCoordinator,normal,0.1,25,500,0.626,0.734,0.814,0.814,0.336,0.35714285714285715,0.108,0.05121119937393814
MediatorCoordinator,normal,0.1,25,500,0.62,0.744,0.814,0.814,0.336,0.35714285714285715,0.13,0.05359179922379553
RuleBasedCoordinator,normal,0.1,26,500,0.622,0.728,0.826,0.822,0.362,0.4198895027624309,0.108,0.040970598231069744
WeightedVotingCoordinator,normal,0.1,26,500,0.622,0.728,0.826,0.822,0.362,0.4198895027624309,0.108,0.04754819947993383
MediatorCoordinator,normal,0.1,26,500,0.622,0.736,0.826,0.822,0.362,0.4198895027624309,0.118,0.04601180029567331
RuleBasedCoordinator,normal,0.1,27,500,0.65,0.748,0.844,0.842,0.368,0.42391304347826086,0.096,0.04418899957090616
WeightedVotingCoordinator,normal,0.1,27,500,0.65,0.748,0.844,0.842,0.368,0.42391304347826086,0.096,0.046258800954092294
MediatorCoordinator,normal,0.1,27,500,0.646,0.754,0.844,0.842,0.368,0.41847826086956524,0.114,0.045587001310195774
RuleBasedCoordinator,normal,0.1,28,500,0.68,0.768,0.842,0.84,0.306,0.42483660130718953,0.09,0.047645400394685566
WeightedVotingCoordinator,normal,0.1,28,500,0.68,0.768,0.842,0.84,0.306,0.42483660130718953,0.09,0.04914419958367944
MediatorCoordinator,normal,0.1,28,500,0.676,0.774,0.842,0.84,0.306,0.42483660130718953,0.104,0.048510800348594785
RuleBasedCoordinator,normal,0.1,29,500,0.658,0.746,0.856,0.852,0.336,0.39880952380952384,0.09,0.04833919933298603
WeightedVotingCoordinator,normal,0.1,29,500,0.658,0.746,0.856,0.852,0.336,0.39880952380952384,0.09,0.049495799525175244
MediatorCoordinator,normal,0.1,29,500,0.652,0.746,0.856,0.852,0.336,0.39880952380952384,0.102,0.050216199131682515
RuleBasedCoordinator,normal,0.2,0,500,0.398,0.528,0.71,0.7,0.434,0.19815668202764977,0.134,0.030761199770495296
WeightedVotingCoordinator,normal,0.2,0,500,0.398,0.528,0.71,0.7,0.434,0.19815668202764977,0.134,0.03360059985425323
MediatorCoordinator,normal,0.2,0,500,0.394,0.564,0.71,0.7,0.434,0.19815668202764977,0.178,0.03701579902553931
RuleBasedCoordinator,normal,0.2,1,500,0.376,0.524,0.674,0.666,0.45,0.2088888888888889,0.16,0.03460619994439185
WeightedVotingCoordinator,normal,0.2,1,500,0.376,0.524,0.674,0.666,0.45,0.2088888888888889,0.16,0.03594319988042116
MediatorCoordinator,normal,0.2,1,500,0.37,0.552,0.674,0.666,0.45,0.20444444444444446,0.208,0.035859000810887665
RuleBasedCoordinator,normal,0.2,2,500,0.396,0.51,0.702,0.7,0.432,0.18055555555555555,0.134,0.033532799512613565
